id,text,sentiment,human_sentiment
0,Wow. Yall needa step it up @Apple RT @heynyla: Music and snapchat at the same damn time. Thank you #Note4,-1,negative
1,What Happened To Apple Inc?   http://t.co/FJEXI3oP0U  #aapl #apple @MoneyPress http://t.co/wXKmmTMArW,0,neutral
2,Thank u @apple I can now compile all of the pics that i communicate with in one place http://t.co/tq1lo09oyA,1,positive
3,"The oddly uplifting story of the Apple co-founder who sold his stake for $800 
$AAPL #aapl
http://t.co/CiZbVR05PJ",0,neutral
4,@apple can i exchange my iphone for a different color lmao  i changed my mind,0,neutral
5,"RT @JPDesloges: Apple Acted Unfairly In Suppressing Digital Music Competition: Paul Kedrosky $AAPL #aapl
http://t.co/XTbFhpbYf7",-1,negative
6,Let's not forget that press effects stock @Apple to Defend Against iPod Antitrust Suit http://t.co/pqJ0bKIMb8,0,neutral
7,Apple Inc. Deleted Songs From Rival Services From iPods http://t.co/dQwDFpcc4x #AAPL,-1,negative
8,@TeamCavuto @Apple They're staging a die in ar an Apple store while being on their iPhone.,0,neutral
9,"Happy Monday! My camera on my fancy @Apple #iPhone6Plus suddenly stopped working this weekend, so instead - I meme. http://t.co/XdySgcxUuv",-1,negative
10,"Facebook CEO Mark Zuckerberg criticizes Apple $AAPL #aapl
http://t.co/EVrsNVdeXe",-1,negative
11,fuck you too @apple,-1,negative
12,@Apple  you need to sort your phones out.,-1,negative
13,@OneRepublic @Apple 45000 feet keep flying,0,neutral
14,"@MarkZuckerbergF of @facebook and tim cook of @apple are sparring, but can we plz talk REAL connectivity on the web? http://t.co/AKfHP9pL9X",0,neutral
15,@APPLE YOURE SHIT FIX MY PROBLEM,-1,negative
16,"Up 169%, Is #Apple Supplier #Skyworks Still A Buy? #SWKS  #AAPL #BRCM #MU #QCOM #VTI http://t.co/YcxoMNmHqo",0,neutral
17,Theyre not RT @Naivana_: You gotta be kidding me @apple http://t.co/GeeL25AlT1,-1,negative
18,"What to expect from Apple in 2015 $AAPL #aapl
http://t.co/7Dq9vBdt3H",0,neutral
19,Confirmed: Bose speakers returning to #Apple Stores after removal earlier this year - http://t.co/yXPyde3TvQ #AAPL #BeatsElectronics,0,neutral
20,@apple @iphone4 oh it's not fair and i think you're really mean,-1,negative
21,"How Competition Between #Wireless Carriers Benefits #Apple, Inc. | The Motley Fool #aapl http://t.co/mQe4NT0vXr",0,neutral
22,Does @apple store in Georgetown sell refurb'd iPads? Or just new? Are refurbs only available online?,0,neutral
23,How is my battery already 83% within 15 minutes of usage. Fix up @apple,-1,negative
24,@UberFacts i can think of 100 reasons not to if your on a 4s. Fuck @apple,-1,negative
25,How long does it really take for a phone to ship @apple smh,-1,negative
26,@brwnskin_beauti cause fuck @apple,-1,negative
27,@lanadelreystan KILL YOURSELF @apple,-1,negative
28,@THE_HIIT_COACH @weightsmate @Apple it's similar to an existing app (called cardio guru interestingly). Maybe Apple have noticed this?,0,neutral
29,"#AAPL:Pale, hoarse Steve Jobs defends Apple in videotaped deposition in iPod...http://t.co/SNmpSx4TDo",0,neutral
30,@apple ur a disgrace,-1,negative
31,.@apple The iPad update to iOS 8 is an absolute disaster. Nothing works right anymore. Safari crashes constantly. #iFail,-1,negative
32,"#AAPL:Apple trial continues, without a plaintiff for now...http://t.co/DjDkC4HkPZ",0,neutral
33,Finally! Brooklyn Is Getting Its Own #Apple Store #aapl http://t.co/IpjMgjGQw5 http://t.co/Ow2BSRLbAx,1,positive
34,RT @SwiftKey: We're so excited to be named to @Apple's 'App Store Best of 2014' list this year! http://t.co/d7qlmti4Uf #Apple,1,positive
35,"The best link of the day on @usemuzli Tech: @facebook CEO Mark Zuckerberg goes after @tim_cook , @Apple -- AppAdvice
http://t.co/cDnZCthRlA",0,neutral
36,@PCAudioLabs is in and @Apple is out at Emanon Records.  Apple was premium product. Now it is an average product with a premium price.,-1,negative
37,Realised the reason @apple make huge phones is because they f**ked Safari up by not allowing us to hide the address bar,-1,negative
38,@apple y'all shitty,-1,negative
39,Finally updated to iOS 8...this happened ha weird glitch fix it please @apple http://t.co/LCoGg7yfEz,-1,negative
40,RT @jopocop: TheStreet:  #Apple Gets Price Target Boost on Back of Strong #iPhone Demand #aapl  http://t.co/f2qTGIBDDq,0,neutral
41,How to Make #Apple Special Again #aapl http://t.co/EiAP7Kmelu,0,neutral
42,@swerviinnn @Apple clearly its a sign they doing u a favor,0,neutral
43,@apple #macos #yosemite is a buggy piece of shit. It makes me miss #windows8.,-1,negative
44,I'm surprised there isn't more talk about what looked like a flash crash in #AAPL yesterday. Biggest range in years and largely ignored,-1,negative
45,"Shockingly, iMessage on the desktop is fucked up again. Great work, @apple. Seriously, on point with network services as only you can do.",-1,negative
46,The hell does this mean @apple one day Skype won't let me login now I can't even open the app http://t.co/SegFVq5Mzx,-1,negative
47,Tryng to get back on snapchat but the App Store isn't cooperating @apple,-1,negative
48,"Apple Adds New Flyover Locations to Maps, Siri Movie Showtimes in More Countries [iOS Blog] http://t.co/758TjE7alk #AAPL",0,neutral
49,@apple fucking let everyone name the group chats their own things please and thanks,-1,negative
50,@dougluberts @Apple Is it the 128gb version?,0,neutral
51,@Apple your chargers SUCK,-1,negative
52,The questions every #CIO should ask about @Apple #iWatch: http://t.co/1RSxT3CMlZ,0,neutral
53,RT @saigeist: the most offensive thing is the lack of a trashcan emoji stop the discrimination @apple,-1,negative
54,@apple fuck you,-1,negative
55,"RT @JPDesloges: Higher Price Targets Are Not Helping Apple's Shares $AAPL #aapl
http://t.co/QTLiiXy1Ed",-1,negative
56,#Apple heads to trial over iTunes update #AAPL http://t.co/BevWxGyCVk,0,neutral
57,"#AAPL:New, Far-Reaching Apple Patent Reveals Next iPhone May Demonstrate A C...http://t.co/Ce8dwGBHz0",0,neutral
58,"@apple Why is your NYC Grand Central store so bad when it comes to service? 14th Street is much, much better...",-1,negative
59,I'm not happy about that @apple,-1,negative
60,"RT @adage: Watch the weekend's new TV ads from @RadioShack, @Apple and more http://t.co/cKdkibI6PL",0,neutral
61,@tehhGOAT @Apple do you by accident have me blocked or?,-1,negative
62,Real tired of my charger breaking every month @Apple,-1,negative
63,Is Apple The Most Important Stock On Earth?  http://t.co/YkyiwKnL5S #aapl http://t.co/eiAOHl8LL1,0,neutral
64,@Apple get your shit together I hate you,-1,negative
65,#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..,-1,negative
66,fucking faggots @apple,-1,negative
67,"are u #android or #ios? $aapl #samsung #aapl #ApplePay #apple #GoodMore
#GivingTuesday
#StonerSports
#3YearsOf5SOS
#FlashvsArrow
#stocks",0,neutral
68,honestly fuuuuccckkkk you @apple http://t.co/0aV4VreGUj,-1,negative
69,@Apple Stop liking man.,-1,negative
70,@SSComposer @Apple seems to ignore any key presses like command r and is just doing its own thing.,-1,negative
71,"RT @JPDesloges: APPLE - Fibonacci Technicals Levels - LAST Intraday  Update - $AAPL #aapl 
http://t.co/9tLzXOlfzG",0,neutral
72,"Note to @apple, Mail STILL has trouble sending.  The last update didn't fix it.  Mail that doesn't send?  Not so useful.",-1,negative
73,"@brettgilmour @Apple You're not the only one apparently, based on that last interview we did with @carmilevy",0,neutral
74,"No @macbook today,charger broken .help please @apple what can i do...",-1,negative
75,#Google May Be the Big Winner in LAUSD's #IPad Scandal http://t.co/YVDioMcl4r via @BW #aapl,0,neutral
76,FUCK U @apple i just dropped my new IPHONE6  and it got all sctratched up ! IM DONE WITH APPLE SO FUCKING FRAGILE,-1,negative
77,"#Will the #IPhone6Plus Shortage Hurt @Apple [#Apple] This Christmas?. (#Monday, 8 #December) http://t.co/i1QB6uaRms",0,neutral
78,@britt_bumgarner @briannalengy I mean it didn't auto correct so who is really at fault here @apple,-1,negative
79,"AAPL 'buy' reiterated,  target raised to $130 by Bank of America Merrill Lynch $AAPL Brief explanation here:  https://t.co/349ckZlF0v #AAPL",0,neutral
80,fuck type of shit is this @Apple @autocorrect @Siri http://t.co/5zyb6SUepz,-1,negative
81,Left the hoos we 100% now got 50 iPhones are dire @apple suck ur mum,-1,negative
82,"@brycehendersonn o wow @technology @stevejobs #GamerGate  @IGN  @Machinima @gameinformer @Apple #64megaherts 
got me there",0,neutral
83,5 Companies Growing Faster Than Apple Inc. http://t.co/QsoC8dir60 #AAPL,0,neutral
84,@apple #YosemiteProblems Erases my saved pass words every day. This is getting annoying.,-1,negative
85,"@apple #apple tech support is so nice. Free stuff!! Sucks about the ringtone issue, though...",1,positive
86,"Apple Releases Safari 8.0.1, 7.1.1, and 6.2.1 http://t.co/sIOuKQbs1T #AAPL",0,neutral
87,"Early Apple Employee Bill Fernandez Shares Details on Steve Jobs, Creation of the Apple II, and More http://t.co/hv7TfDUIm9 #AAPL",0,neutral
88,"AAPL passes $700 billion in Market Cap and setting a new record, details here:
http://t.co/UCXw8zSRpZ #AAPL #Apple #Stocks #Record #News",0,neutral
89,Can't believe @Apple said melted keys on Mac Pro is not under warranty for a machine less than a year old. Asking for 鶯500 to repair.,-1,negative
90,fuck you @apple,-1,negative
91,I posted 9 photos on Facebook in the album 'WOW TALKS // PASSION FOR DESIGN // LONDON DESIGN FESTIVAL @APPLE' http://t.co/vgRlX9OCMT,0,neutral
92,How To Use #iOS8 Continuity | Know Your Mobile http://t.co/Bf2smNeBEe #aapl,0,neutral
93,@SwiftKey @Apple Oh In wish you guys would port hebrew from the android version already! I have swapping abck and forth,-1,negative
94,"Apple's iPhone 6 Plus Amazingly Captures 41% of the Phablet Market Right out of the Gate $AAPL #aapl
http://t.co/hv7jiOO6S0",1,positive
95,#AAPL providing another great entry point &lt; $115,1,positive
96,@lisapjackson any stats on use of @Apple's recycling program?,0,neutral
97,#AAPL:Corporate Earnings to Contract; Short Apple: Best of Kass...http://t.co/59VMgqR0tH,0,neutral
98,ayo @Apple I think u should create a 'video message' option so when @CarlaBarlaCakes doesn't answer my facetime I can leave her a VIDEO MAIL,0,neutral
99,The power of @Apple 's strong branding and store design in one photo http://t.co/CJObpVZeZk via @qz http://t.co/hD6P7hJhW8,0,neutral
100,Yo @Apple fix your shitty iMessage,-1,negative
101,Why I Hate Apple - http://t.co/IbpyJXaOuW #AAPL #Long-Term_Larry,-1,negative
102,Hey @apple are you even thinking about fixing your wifi issues? #YosemiteProblems,-1,negative
103,@sharksbeauty @Apple LEMME get the blondes number,0,neutral
104,"#AAPL:Apple Inc., International Business Machines Corp., Exxon Mobil Corpora...http://t.co/0XWPHhpA6C",0,neutral
105,3 #Tech Stocks That Could Soar in 2015 | The Motley Fool #goog #aapl #fb http://t.co/6LcuT1XTzX,0,neutral
106,Apple Debuts New iPad Air 2 TV Ad 'Change' with New Website Section http://t.co/8q8satHa2S #AAPL,0,neutral
107,@jakeflem @Apple Some info for you: http://t.co/J79FnVB94e http://t.co/m3pclPVgGK http://t.co/J72WyhXxx1 Hope it helps. #PinkScreenOfDeath,0,neutral
108,"Apple mass transit system for Maps detailed in new patent $AAPL #aapl
http://t.co/YhwWoUBR3Q",0,neutral
109,@ohaiigloria @hahahamark @apple explain yourselves,-1,negative
110,RT @danielllebaker: Paid $20 for a new 5 charger and couldn't  b more pissed about it... this is rape @apple,-1,negative
111,"The 10 biggest differences between #Mac and #PC.  Yep, I'll stick with my Mac! #apple http://t.co/obykvsjfJY @apple @LisaEadicicco",1,positive
112,Yall need to fix this flicker/flash when I swipe up to close apps @Apple,-1,negative
113,PRINCIPLED TRUTHS: Eddy Cue Talks to Fortune as Apple Appeals E-Book Price-Fixing Judgment. #AAPL http://t.co/Y7JDYN0mlR,0,neutral
114,@apple#ipad #irig  For the price to connect my guitar I could buy a real amp loud enough to perform! #ripoff,-1,negative
115,@steviebuckley It's doing strange things to @dropbox files as well - create a new folder and it disappears etc.  @apple #yosemite #bugs,-1,negative
116,#AAPL:12 Unexpected Stocks Bringing Buffett and Fellow Billionaires Holiday ...http://t.co/QSxQQPAg2q,0,neutral
117,@HlPSTALUKE @Apple one of you stepped on my phone last night and its smashed and doesnt work :),-1,negative
118,"Hey @apple, fuck you for thinking I want text messages to pop up on my computer, iPad and phone.. #ThisIsWhyPeopleGetMurdered",-1,negative
119,Just another reason to hate @Apple!!!!!!!!!!!,-1,negative
120,"Steve Jobs: 'I don't know what the claims in the case are' $AAPL #aapl
http://t.co/5Ufd8p9qxs",0,neutral
121,@OneRepublic @Apple How cool that you're working on new music. Can't wait to hear it. But you're working hard. You need rest. :),1,positive
122,@Apple technology..is becoming very undesirable. These glitches are constantly stopping my from working,-1,negative
123,#Apple dominates mobile online shopping at 78 percent in US #aapl http://t.co/1fqoPIhObO,1,positive
124,"@applenws @AppleProducts @Apple ok look, yall still ain't reversed me back to iOS 7. idk what the hold up is but ima need yall to get on it",-1,negative
125,Can @Apple sTOP making their OS installations so damn bloody difficult STOP ASKING ME TO CLEAR SPACE FROM MY HARD DISK,-1,negative
126,Jimmy Iovine to Apple: 'You Have a Hole in Music Right Now; Let Me Plug It' http://t.co/RwolD40zwI #AAPL,0,neutral
